愛のシュプリーム！,DX,MAS,12.6,-
story,DX,MAS,12.2,-
回レ！雪月花,DX,MAS,,-
ハム太郎とっとこうた,DX,MAS,,-
だから僕は音楽を辞めた,DX,MAS,,-
ウマイネームイズうまみちゃん,DX,MAS,,-
Virtual to LIVE,DX,MAS,,-
Shooting Stars,DX,MAS,,-
MOON NIGHTのせいにして,DX,MAS,,-
ドラゴンエネルギー,DX,MAS,,-
なだめスかし Negotiation(TVsize),DX,MAS,,-
吾輩よ猫であれ,DX,MAS,,-
YONA YONA DANCE,DX,MAS,,-
only my railgun,STD,ReMAS,,-
ようこそジャパリパークへ,STD,MAS,12.5,-
come again,STD,MAS,,-
jelly,STD,MAS,,-
バラライカ,STD,MAS,,-
ラブリー☆えんじぇる!!,STD,MAS,,-
ポップミュージックは僕のもの,STD,MAS,,-
GET!! 夢&DREAM,STD,MAS,,-
fantastic dreamer,STD,MAS,,-
true my heart -Lovable mix-,STD,MAS,,-
SHINY DAYS,STD,MAS,,-
群青讃歌,DX,MAS,12.4,12.4
再会,DX,MAS,12.2,-
花となれ,DX,MAS,12.2,-
千本桜,DX,MAS,,-
METEOR,DX,MAS,,-
アディショナルメモリー,DX,MAS,,-
Strobe♡Girl,DX,MAS,,-
太陽系デスコ,DX,MAS,,-
だからパンを焼いたんだ,DX,MAS,,-
quiet room,DX,MAS,,-
サヨナラチェーンソー,DX,MAS,,-
スターリースカイ☆パレード,DX,MAS,,-
スロウダウナー,DX,MAS,,-
Catch the Wave,DX,MAS,,-
乙女解剖,DX,MAS,,-
明星ギャラクティカ,DX,MAS,,-
電話革命ナイセン,DX,MAS,,-
雨とペトラ,DX,MAS,,-
幽霊東京,DX,MAS,,-
約束,DX,MAS,,-
どぅーまいべすと！,DX,MAS,,-
アイドル新鋭隊,DX,MAS,,-
回る空うさぎ,DX,MAS,,-
ZIGG-ZAGG,STD,ReMAS,,-
初音ミクの消失,DX,EXP,12,12
デッドマンズバラッド,DX,EXP,,-
拝啓ドッペルゲンガー,STD,EXP,12.6,12.6
終点,STD,EXP,12.4,-
夜咄ディセイブ,STD,EXP,,-
裏表ラバーズ,STD,EXP,,-
ARROW,STD,EXP,,-
初音ミクの激唱,STD,EXP,,-
